,feedback,rating
2201,"I thought she  was fabulous!  As a runner, she totally understood me. I am also older, and she was able to evaluate my knee and recommend the best solution. I’m doing running protocol with no pain at all. ",Rated 5 out of 5
2886,Dedicated to helping those in painThere is none better.  He explicitly explains your problem and takes his time with you.  He is clear and concise when answering all my questions.  He has done both my hips and it’s nice to Have a doctor you can trust in this day and age.,Rated 5 out of 5
2870,"Dr. Cleeman and the entire office was kind, attentive, and efficient.  The treatment was thoughtful and I am feeling 1000% better.  Had an overuse injury in my hip from running and one day after the cortisone shot I am walking again.  Thank you Dr. Cleeman!",Rated 5 out of 5
2871,"I can't imagine what the person who left the 1 star review was talking about. Dr. Cleeman is a caring, wonderfully attentive doctor who does NOT care only about surgery. He has treated me with shots specifically aimed at avoiding surgery and has spend a good deal of time with me discussing options. Overall, I can't recommend him highly enough.",Rated 5 out of 5
2872,"excellent! once again right on target, no 2nd opinion needed",Rated 5 out of 5
4704,"Dr. Seidenstein replaced my right hip several years ago and now he’s going to replace my left hip. His explanations are clear. He answered all my questions. If in the future I’ll need to do my knees, I’ be back.",Rated 5 out of 5
2875,"I was referred to Dr Cleeman by some  people I know through work.They raved about his time with each patient, surgical talent and office decor. I had the same experience.  It's clear that Dr Cleeman is extremely bright and knowledgeable and takes the time to explain what's happening and best course of action and his nice office is a bonus. I also didn't wait long to get called in. Good reason why he is always acknowledged as top Dr by New York magazine every year",Rated 5 out of 5
2876,"Dr Cleeman helped me with my shoulder injury. He suggested conservative treatment , which worked.
The office and staff are nice, but most importantly the doctor is great. ",Rated 5 out of 5
2878,"Dr. Struhl seemed very knowledgeable and recommended for me to see a foot specialist.  Urgent care sent me to Dr. Struhl given they diagnosed an ankle injury, but it was a foot injury.  Nevertheless, I strongly believe at least gave me a correct diagnosis.  I definitely would recommend him just for the fact that he knew exactly what my problem was before and reconfirmed it with another set of x-rays.  He's a personable doctor and answered all my inquiries.  Thank you!",Rated 5 out of 5
4702,"I was very fortunate to be referred to Rothman Orthopaedics, and specifically to Dr. Ari Seidenstein, for a total hip replacement.  Dr. Seidenstein is professional,  extremely knowledgeable and committed to solve my health issues.  His staff are friendly and helpful with any and all concerns you may have.  I strongly recommend Dr. Seidenstein for your medical needs.





",Rated 5 out of 5
2880,"Great doctorI had bi lateral knee replacement 15 years ago, and Dr Levine was part of the team, never had any problems in all those years, he is the same excellent specialist then as now, enjoyed my check up and will follow the recommendations made to me to keep my knees in tip top shape now that I am older.",Rated 5 out of 5
2881,Dr Levine was terrific! Took me on time and answered all my questions and concerns . He’s a wonderful doctor. ,Rated 5 out of 5
2882,"The best. Period. Dr. Levine and his entire team are a exceptional operation ( no pun intended.) Pre-surgery,  post-surgery and of course the procedure itself was seamless. 
I highly recommend consulting with Dr. Levine before making any decisions. ",Rated 5 out of 5
2883,"Three times a charmDr. Levine has replaced both my hips, and we’re now planning my knee replacement. Dr Levine, the staff, and there facilities are second to none.
Appointments are prompt and service is courteous. I couldn’t be happier.",Rated 5 out of 5
2884,Dr Levine is an excellent surgeon!,Rated 5 out of 5
2885,"Dr h LevineGreat doctor, smart, to the point and always empathetic to your situation. The entire support staff as well, very pleasant",Rated 5 out of 5
2887,"Dr. Levine was very thorough.  He has excellent communication skills, he listened and answered all questions. I was not rushed.  He was extremely professional and dedicated to his profession.  He has a highly skilled professional surgical and perioperative team that he works with.  I highly recommend Dr Levine!",Rated 5 out of 5
2833,"I’ve been using Alexander de Moura since the 90’s. He also helped me and was always right about the issue. I also recommended anyone I could to him, he is a gentleman and a great man. He is one of the best at what he does",Rated 5 out of 5
2888,I went to  Dr Levine after I had a hip replacement from another Dr. I wasn’t happy with it. I have to have my left hip replaced and I full faith in Dr. Levine!,Rated 5 out of 5
2889,Excellent. Dr Levine is terrific.  5 Star care.,Rated 5 out of 5
2890,"Highly competent, caring and approachable.  Answered all my questions.  Wouldn’t hesitate to recommend ",Rated 5 out of 5
2891,"My visit was excelent,got all the info i needed for my up coming knee surgery",Rated 5 out of 5
2892,"Dr. Levine replaced my right hip in 2018. With it’s positive result, I am also having Dr. Levine replace my deteriorated left this January.  I have put my total trust in him &  highly recommend his surgical expertise. ",Rated 5 out of 5
2893,One of the most competent and caring orthopedic physicians around . His office staff is top notch as well,Rated 5 out of 5
2894,Dr Levine patiently and thoroughly answered my many questions and was supportive and encouraging. He did not try to persuade me to do surgery but left me to decide based upon my needs and tolerance,Rated 5 out of 5
2895,Dr Harland Levine is the best of the best. He did my total right hip three years ago  & my total right knee in August. I breezed through my physical therapy. Feeling great. A small 6 inch scar for my knee. I am so greatful!,Rated 5 out of 5
4701,"Dr. Seidenstein is an exceptional knee specialist and was most helpful to me post-op, with the exercises and pt-- a necessary and important part of the recovery.

",Rated 5 out of 5
2897,Honest assessment of condition.  Personable.  ,Rated 5 out of 5
2898,Absolutely! I’d not go to another Orthopedic Surgeon but Dr. Levine! My two total knee replacements have been so successful and painless thanks to Dr. Levine and his medical staff.,Rated 5 out of 5
2899,Amazing office. Staff friendly and courteous. Very punctual. Patients are seen on time. Dr. Levine is personable. He gave a through explanation of problem and options available. This physician has a huge following in my town of patients he has successfully treated for knee replacements as well as other problems related to this joint. I highly recommend this practice .you will not be disappointed.  Thankyou Dr. Levine.,Rated 5 out of 5
2900,"I would like to say a big thanks to Dr. William King.He is the best!!! A fantastic person, and a great doctor.He cares for his patients and does everything possible for a positive outcome.His staff is very friendly and helpful.I had carpal tunnel.I used to wake up every night from constant sharp pain,numbness,tingling and awful burning sensation in my hands.After a successful surgery with no complications I forgot all about discomfort.Even after returning to work as a housekeeper my hands were just fine.Dr.King is a professional and I highly recommend him.",Rated 5 out of 5
2901,"I've been a patient of Dr. King's since I was a little girl he's fixed my thumb and middle finger and he fixed the sprain wrist I had and now he's currentlyy in the process of fixing my left arm which he thinks has a pinched nerve in it. He is a wonderful doctor, excellent diagnostician, very thorough, takes the time to listen to his patients and explains his course of action, great bedside manner. He's the best in this field and there's no other orthopedic doctor I'd want to treating me but him. ",Rated 5 out of 5
2869,"I’ve been seeing Dr. Cleeman pretty regular for seven years. I tore my PCL and have been having arthritis pain for the last few years plus a slight meniscus tear. He is not like other doctors and immediately suggests surgery. He is the opposite and tries conventional therapy. He’s professional, knows what he’s talking about. I wouldn’t go to anyone else",Rated 5 out of 5
2868,"Dr. Cleeman is fantastic. I tore my bicep tendon, rotator and labrum. He repaired all three so well that, right on schedule, I’m pain-free and back to 100% in all activities including sports. His skill and knowledge are matched with a great sense of care and attention. Love this guy.",Rated 5 out of 5
2866,Dr. Cleeman was very informative and reassuring. He is always pleasant and answers all my questions  I highly recommend him was just here today -March 8th ,Rated 5 out of 5
2865,"Very clear, efficient, straight forward and helpful visit and I came away with clear next steps on managing my current shoulder issue. ",Rated 5 out of 5
2835,"Very good Dr.
And the hospital",Rated 5 out of 5
2836,Found the staff so friendly very professional and a great experience highly recommend Dr. Moura ,Rated 5 out of 5
2838,"Dr. De Moura did my neck surgery and the experience and recovery has been great.  This doctor remained professional taking the time to answer my million and one questions. What I loved the most is that after the surgery the doctor just doesn't push you off to his PA's, he takes the time to meet and examine you during each post opt and he personally checks all notations from his staff to make sure the information is correct.",Rated 5 out of 5
2839,nothing but good things to say about dr. De moura im 3weeks post op everything was as he said it would be from the manageable neck pain from surgery even when i started to panic he responded right back to my text gave me a call reassured me i was fine its been 3 weeks pains gone on the road to recovery this is the 1st time ive went this long in a long while with out feeling like i need to have my neck adjusted so i know for sure im doing better than before surgery...will compare him to the doc we had as kids that sent us home smiling with a lollipop. Wishing him all the best in his life an career,Rated 5 out of 5
2840,"I had surgery yesterday August 18, 2020 and the doctors, nurse staff were kind, welcoming, warm, and made me feel comfortable. I was fussed over and constantly checked on and made extremely comfortable. The staff was superb.  The nurses practice cleaning protocols and assured my safety as well as their own while being perfect care providers. I highly recommend Dr. de Moura and his beautiful professional staff.",Rated 5 out of 5
2841,Great Dr. I have nothing but good things to say about my surgery experience. I would highly recommend Dr. De Moura.,Rated 5 out of 5
2842,Very impressed. From start to finish. From the intake medical professional to the doctor. A class. Highly recommend.,Rated 5 out of 5
4705,"I am a retired physician and have only the highest compliments for Dr. Seidenstein. He is decisive, efficient, explains the problem and the therapies available in detail. More importantly, he has a wonderful 'bedside/office visit manner"". I especially enjoy is sense of humor which put me at ease. I have complete confidence in him and will have him do my total knee arthroplasty/replacement most likely to be performed after June, 2022.",Rated 5 out of 5
2844,"Dr. de Moura performs miracles! Monuments need to erected in his honor.  The whole process from booking the surgery to being released from the hospital was so smooth and effortless. I am now 3 weeks post-op and getting better every day, no more numbness and tingling shooting down my legs, no more crippling back pains (if you saw me at the store you wouldn’t even know I just had major spine surgery 3 weeks ago!). Dr. de Moura has the hands of an angel, they are made to heal!",Rated 5 out of 5
2845,"Very thorough, smart and professional. Such a down to earth and nice guy as well. ",Rated 5 out of 5
2846,"It is unfortunate this review methodology does not allow for 10 stars.  If it did, Erin would be a perfect 10! On December 4th, 2020 I had my first total knee replacement.  Never would I ever imagine that I would go through several complications and still in February 2021 in the process of resolving all of my  health issues.  At the same token, never did I imagine having someone like Erin by my side to help my wife and I cope and navigate through these difficult moments.  Erin's incredible knowledge base and her ability to comfort has been truly amazing and a blessing.  There are no words that can describe Erin as professional and a human being.  It did not matter when I reached out to her.  Whether it was during the week or weekends on her own personal time she would reply to any questions or concerns we had.  

Simply put, she is an amazing professional and human being!!!  Thank you Erin for who you are and what you do!",Rated 5 out of 5
2847,"I had a small painful tumor in my right thigh removed in surgery. Dr. Prince has a very good bedside manor, is caring and explained my options in detail. His initial diagnosis was correct, whereas other doctors were not sure. In surgery, Dr. Prince removed the tumor and tissue around it and tested everything immediately and then explained preliminary results to my wife postop (I was still waking up); and called me a week later when the lab results were confirmed. He allowed us to pray with him.",Rated 5 out of 5
2848,"Dr. Weiner is the unique, the best. I, Inna Yeselev, met Him in the August 2000, after multiple-multiple surgeries abroad and in USA, New York;  I was in wheelchair with pickline  of antibiotics and with prescription (from Montefiore Hospital) to cut my leg out or to die. Doctor Lon made his unique job, He save my leg.  Since then, for 18+ years, I walk mostly without of a cane at my 86 years. I swim a lot, dancing sometimes.  And always remember You, Doctor. THANK YOU.",Rated 5 out of 5
2849,Best doctor!!! Highly recommended!!! Amazing staff!!! Great hospital!!!! ,Rated 5 out of 5
2850,Dr. Weiner is an amazing doctor. He was able to get me fixed the right way and now I am not bed bound. He listens to you and he truly wants to make sure he can do the best for you possible and he won’t give up. His staff is amazing as well.  I would recommend him to anyone I come in contact with that is looking for a physician. He really is the best surgeon around and I have had over 8 surgeries on my leg before I went to him and 3 different surgeons and he is truly the best of the best ,Rated 5 out of 5
2851,Dr. Weiner saved my leg after I was in a bad car accident. I apprectate all that he has done for me and my family. He made a bad experience easier to endure.   ,Rated 5 out of 5
